"","X1","artist","song","spotify_uri","Album","Release"
"8049",8049,"Big Bill Broonzy","Somebody's Got To Go (Tk. 1)","3mRem7wy7Pm4yeAMNCkpEJ","Big Bill Broonzy Vol. 7 1937 - 1938","1992"
"8050",8050,"Big Bill Morganfield","Cryin' Days","0ujSmITj0YFboJSR3MS0wo","Rising Son","1999"
"8051",8051,"Big Bill Morganfield","Hoochie Coochie Girl","7FbKRvlos8lkyxyrH5NDWy","Blues In The Blood","2003"
"8052",8052,"Big Bill Morganfield","Ramblin' Mind","7zNi4TaM7fJHv2G5LJfF7y","Ramblin' Mind","2001"
"8053",8053,"Big Bill Morganfield","Trace Of You","5CLb8mM1nCArwTOnlMUJa2","Ramblin' Mind","2001"
"8054",8054,"Big Bill Morganfield","Trapped","41MPb57t4H6eZUSDFRfnk2","Blues In The Blood","2003"
"8055",8055,"Big Boi","Fonzworth (interlude)","61AEh5VP6vRdInZZhLwtd0","Big Boi Presents... Got Purp? Vol. 2","2005"
"8056",8056,"Big Bopper","Chantilly Lace","07GtDOCxmye5KDWsTSACPk","Chantilly Lace","1958"
"8057",8057,"Big Bopper","Thats What I'm Talking About","4u1VzNaCpWoD2f9luqvTbB","The Best Of Big Bopper","1999"
"8058",8058,"Big Bopper_ The","White Lightning","5msJL5jHTeLUzJgmFe84fm","The Legacy of the Big Bopper","1997"
"8059",8059,"Big Boss Man","Full Brazilian","3a5vgrkrJEe8sHnKUtobcT","Full English Beat Breakfast","2009"
"8060",8060,"Big Boss Man","Luna 2","7tCH1FwHCkHNPWWhTfNW9n","Full English Beat Breakfast","2009"
"8061",8061,"Big Brother & The Holding Company","Hall of the Mountain King","6lOkzspygJTnZk13KOZ2g1","Ball & Chain","2012"
"8062",8062,"Big Brother & The Holding Company","Heartache","3PcZEkURHS6ckzErCrXcIG","Be a Brother","2016"
"8063",8063,"Big Brother & The Holding Company","Shine On","6X5TVyuF1pb6PxIFhnCIx3","How Hard It Is","2016"
"8064",8064,"Big Brother & The Holding Company","You've Been Talkin' 'Bout Me_ Baby","09IvRgW1sEBOxjUtF9qKK2","How Hard It Is","2016"
"8065",8065,"Big Brovaz","Ain't What You Do","7omIC3upzDDMOqRu3NyzGn","Nu Flow","2001"
"8066",8066,"Big Brovaz","Favourite Things","47wWMUSbUsH86cybzdZbnC","Nu Flow","2001"
"8067",8067,"Big Circo","Esa Eres Tu","4SrDmp0FLK6rWCaDTk0Jms","Yo No Fui","2002"
"8068",8068,"Big Circo","Rata Inmunda","1sZPJwAsL52LqY3cIlya0N","Circomania","2004"
"8069",8069,"Big Circo","Te Escribire Un Poema","1EDENXAZef3O7ZOs2U7rb6","Big Alex","2005"
"8070",8070,"Big Circo","Yo Quisiera","1QRig7iCc3n1CNFIK8uZPP","Big Alex","2005"
"8071",8071,"Big City Orchestra","PZM In Tube On Amp","6sFm48BLTBw6mBbyqrg1mX","Greatest Hits And Test Tones","1993"
"8072",8072,"Big City Orchestra","Tone Through Drum (Hand Held)","0QS8pKrE3vzJKKFhrUtfK4","Greatest Hits And Test Tones","1993"
"8073",8073,"Big City Orchestra","Tone Through Drum With Beans And Cymbal","3BSDvjumf4JVEGxPSrMNhs","Greatest Hits And Test Tones","1993"
"8074",8074,"Big Country","Bass Dance","0PNR2PHj8IaPzd0jWEo3Ss","Steeltown","1984"
"8075",8075,"Big Country","Harvest Home","733y4UBVVZC1UdKSvtmzaC","The Crossing","1983"
"8076",8076,"Big Country","Look Away","4WYBE94dRKhhXLsOeVSNH8","The Seer","1986"
"8077",8077,"Big Country","Republican Party Reptile","78kpOtIpqi7XVCzpwBE0zQ","Live at Rockpalast (Live, 1991 Bonn)","2018"
"8078",8078,"Big Country","We're Not In Kansas","7gSFmBtS5lf5Li5zHXvWUr","No Place Like Home (Re-Presents)","1991"
"8079",8079,"Big D and The Kids Table","Bender","5iQpHNxyiLaYa9LSMyFoa9","How It Goes","2004"
"8080",8080,"Big D and The Kids Table","Can't Be Caught","0G0nGUx7JH075HVQbjMJDl","Good-Luck","2000"
"8081",8081,"Big D and The Kids Table","Fatman","6ZVd769kMSzyvge76ygXPu","Good-Luck","2000"
"8082",8082,"Big D and The Kids Table","Find Out","2eycBwflNFomr3lOAfUsvM","Good-Luck","2000"
"8083",8083,"Big D and The Kids Table","My Girlfriend's On Drugs","Big D and The Kids Table","How It Goes","2004"
"8084",8084,"Big D and The Kids Table","President","0hspOmEiSDAWZVhoWXh7vD","How It Goes","2004"
"8085",8085,"Big D and The Kids Table","Take Another Look","3ODLnssAPrfYIq1crwUdHu","Good-Luck","2000"
"8086",8086,"Big Daddy Kinsey","Can't Let Go","1DxiLJWUHGTQp9u9Ru2spL","Prime Chops","1990"
"8087",8087,"Big Daddy Rick","Bitch F'em All","5R2IeEZIefg4O321ZZCFj8","Angry Electro","1995"
"8088",8088,"Big Daddy Rick","Hail Mary","7oiP8UhstF34rGuAtd0eWW","Rough Electro","1998"
"8089",8089,"Big Daddy Rick","Rough Electro","Big Daddy Rick","Rough Electro","1998"
"8090",8090,"Big Daddy Weave","Angels We Have Heard On High","0xk3vs2ajsHTg0g6SXneCY","Christ Is Come","2009"
"8091",8091,"Big Daddy Weave","Just The Way I Am (Acoustic)","3FeycC2Y7yO3DxfETivMlT","Acoustic - EP","2008"
"8092",8092,"Big Dipper","BABY BLUE","1AeeqySQnMW0ChJ0voSj4m","SLAM","1990"
"8093",8093,"Big Dipper","LIFE INSIDE THE CEMETERY","1ajaTKxVamM0JDV5ERMjOR","Supercluster: The Big Dipper Anthology","2008"
"8094",8094,"Big Dipper","THE BOND","4lbmSitwAv2pC4MnW6d6MJ","SLAM","1990"
"8095",8095,"Big Dismal","Gave It All Away","08jHV3LW7kCyVki1lsL3RC","Believe","2003"
"8096",8096,"Big Dismal","Reality","1tROqPYE3hd5YF50keyKoN","Believe","2003"
"8097",8097,"Big Dismal","Reason I Live","4Y5FGeKgdRnJsovn85PTCT","The Passion Of The Christ: Songs","2012"
"8098",8098,"Big Drill Car","Annie's Needle","2nwPuAKeJVyfNdk9B12G8q","Small Block","1988"
"8099",8099,"Big Drill Car","The Shake","0clezdXd0kPhI5rvIsqTeM","No Worse for the Wear","1994"
"8100",8100,"Big Dumb Face","Blood Red Head On Fire","2GLDC65d7f0I7czVEinJb7","Duke Lion Fights The Terror!!","2001"
"8101",8101,"Big Dumb Face","Kali Is The Sweethog","3TN9IBJpKR9M2nz6dD0SWP","Duke Lion Fights The Terror!!","2001"
"8102",8102,"Big Electric Cat","Bed Of Nails","4lRdYlCH55r0gTLfC6TZqJ","Dreams Of A Mad King","2009"
"8103",8103,"Big Electric Cat","Orchid Dreaming","53hAmm7pobOSiAY01Syyba","This Is Gothic - The Bat Cave Anthology","2007"
"8104",8104,"Big Electric Cat","Red Roses (Black Vine Mix)","040p7w0uxzuah7Tu4sf9lw","Gothic Essential Tracks","2007"
"8105",8105,"Big Electric Cat","Winter Room","7c5PQVmwxxrfAaMfXfP3Ne","Dreams Of A Mad King","2009"
"8106",8106,"Big Face","I Wanna Be A Style Crusader (DatA remix)","6xTFxIHIS1YQwcID26IwrT","Cocktail Time with Kitsuné","2011"
"8107",8107,"Big Fat Snake","Up In The Sky","5TKO8uTPhV9OU29NNr0EVa","Glassalen - Tivoli 2011","2011"
"8108",8108,"Big Fun","GO","02sHjhwXXWq8uDfnxCuq8e","Over the Top House Music Session (Selected By Alain Ducroix)","2012"
"8109",8109,"Big George Jackson","Ela May","3cdiocbkBPDGoyjDay4MZK","Big George Jackson on Black and Tan, Vol. 1","2015"
"8110",8110,"Big George Jackson","Fee Fi Fo Fam","2QAWrRNrnQ7P14YPmC0qQM","Big George Jackson Remixed","2015"
"8111",8111,"Big George Jackson","Go For A Ride","3RpLnssiD92v1E1GxwKQnD","Big George Jackson Remixed","2015"
"8112",8112,"Big George Jackson","I've Done More For You Baby","7iJ6i8SJhB2zptJIhi0TR4","Big George Jackson on Black and Tan, Vol. 2","2015"
"8113",8113,"Big George Jackson","Love So Strong","7sPaPL8cVHUBRJ07s6kbAB","Big George Jackson on Black and Tan, Vol. 3","2015"
"8114",8114,"Big George Jackson & Serious Bidness","Like Wolf","6uYCk2AE7j9fhuVdLF37CN","Nothing Like The Rest","2004"
"8115",8115,"Big Heavy Stuff","White Flag","5zUR5rLpPEIm2Nglu9a133","Covered in Bruises","1995"
"8116",8116,"Big House","Cold Outside","7rxOt53Si96QZrQvpateIv","Big House","1997"
"8117",8117,"Big House","Soul Country","7siNWYRyIP6v1Ojj70TylH","Big House","1997"
"8118",8118,"Big In Japan","For That Special Someone Else","4QZ3K0ePoGpKzbPC91YXfZ","Destroy the New Rock","2001"
"8119",8119,"Big In Japan","New Dead Boyfriend","1VQEtDeJJMv2XxOuuy2Yrf","Destroy the New Rock","2001"
"8120",8120,"Big Jack Johnson","Goin' Back To Mississippi","0S92hyeGrJHkwUOHNN7yRY","Daddy, When Is Mama Coming Home?","2005"
"8121",8121,"Big Jack Johnson","I'm A Big Boy Now","528eWVMwoqUUi8yZe5irSm","Daddy, When Is Mama Coming Home?","2005"
"8122",8122,"Big Jack Johnson","Northwest Airlines Blues","7GkkarClAM7zR9QGsdYJmk","Daddy, When Is Mama Coming Home?","2005"
"8123",8123,"Big Jack Johnson","Part Time Love","5xH2yBB7OssNisP1xYzJzb","The Oil Man","1987"
"8124",8124,"Big Jack Johnson","Thirteen Chillun","2TsNQFMg7rTU64lxHbsMUO","Daddy, When Is Mama Coming Home?","2005"
"8125",8125,"Big Jay McNeely","Deacon Rides Again","58uPRKPNG2KSamt9zzg8p7","Jump Blue: Rockin' The Jukes","1998"
"8126",8126,"Big Jay Oakerson","Apologies / 1999_ The Year Of Our Lord","1Or9SQeetHZBblKC59wDdJ","An American Storyteller","2009"
"8127",8127,"Big Jay Oakerson","Becoming A Man","3jS7gyr60zBYF6ZzqbXsMZ","An American Storyteller","2009"
"8128",8128,"Big Jay Oakerson","Cinematic Love","2TRtTY262rTEMe0u7TA8p8","An American Storyteller","2009"
"8129",8129,"Big Jay Oakerson","Negro Spiritual","4WCHpSArnEJrCTOd2HeDxn","An American Storyteller","2009"
"8130",8130,"Big Jay Oakerson","The Ugly Truth","0gyg5yUVnYu0KzIZnd5q0f","An American Storyteller","2009"
"8131",8131,"Big Joe Duskin","Miss Ida B.","4XpCM2MLN4qafHBqEK1v6U","Big Joe Jumps Again!","2009"
"8132",8132,"Big Joe Duskin","North To Alaska","3vQIO0UaC0LPPRZuveFQki","Big Joe Jumps Again!","2009"
"8133",8133,"Big Joe Duskin","Slidell Blues","4Hokxt9WWl3L3rpXntWTYt","Cincinnati Stomp","1995"
"8134",8134,"Big Joe Duskin","The Little Red Rooster","4ijIBQDSSpmNiId7UtfVqP","Cincinnati Stomp","1995"
"8135",8135,"Big Joe Duskin","The Tribute","5LZsKt3dyY2sM6EyWA414w","Cincinnati Stomp","1995"
"8136",8136,"Big Joe Turner","Battle Of The Blues_ Part 1","7dwbo2Qm9xvQcpL1jz9rRM","Jumpin' With Joe","1994"
"8137",8137,"Big Joe Turner","Early One Morning","2mkS1UKSjgeZgT8Yd3KSLC","Big Joe Turner and Mike Bloomfield","2017"
"8138",8138,"Big Joe Turner","How Long_ How Long Blues","4fxTQOAlrNP1Flt1SIiz2F","Shake Rattle & Rock","2007"
"8139",8139,"Big Joe Turner","Nobody In Mind","5IlKBw5Nk85HiLNU4S7fwt","Big Joe Rides Again","2005"
"8140",8140,"Big Joe Turner","Ooh Wee Baby Blues","3kNZMoj98hV2lZh0guBNP4","Atomic Boogie","2009"
"8141",8141,"Big Joe Williams","49 Highway Blues","6IvANp1IYnzLbErrjNuxK7","Big Joe Williams Vol. 1 1935 - 1941","1991"
"8142",8142,"Big Joe Williams","Banta Rooster Blues","5cwE1udkSJcpXK83CKXne3","Big Joe Williams Vol. 2 1945 - 1949","1991"
"8143",8143,"Big Joe Williams","Blue As I Can Be","4CSkna267443tA7en6MMiC","Big Joe Williams And The Stars Of Mississippi Blues","2003"
"8144",8144,"Big Joe Williams","Bluebird Blues","4xnoLzjpT7dMC1WzfCvirS","Mississippi's Big Joe Williams and His Nine-String Guitar","1995"
"8145",8145,"Big Joe Williams","Brother James","4Hb1qlzaZcOGjQQCURle2g","Big Joe Williams Vol. 1 1935 - 1941","1991"
"8146",8146,"Big Joe Williams","El Paso Blues","5syIIqxli15JhPsdhSKaEd","Saturday Night Jump","2010"
"8147",8147,"Big Joe Williams","King Biscuit Stomp","54j586RZyI6gDmhQjpgEaR","Big Joe Williams Vol. 2 1945 - 1949","1991"
"8148",8148,"Big Joe Williams","Little Leg Woman","08eXpNVCxgtdvqnOYXl5du","Big Joe Williams Vol. 1 1935 - 1941","1991"
"8149",8149,"Big Joe Williams","Mean Step Father Blues","6gRCVxMEFMRiKehh2wAcS9","Big Joe Williams Vol. 2 1945 - 1949","1991"
"8150",8150,"Big Joe Williams","Peach Orchard Mama","3U03OVZxTVc2cnhqldfylp","Big Joe Williams Vol. 1 1935 - 1941","1991"
"8151",8151,"Big Joe Williams","Please Don't Go","3lpj1UVCPnohjqGEwY0Lfl","And Friends, Going Back To Crawford","1999"
"8152",8152,"Big Joe Williams","Providence Help The Poor People","5Eu7BnNYHnfEjRg1fraToL","Big Joe Williams Vol. 1 1935 - 1941","1991"
"8153",8153,"Big Joe Williams","Sloppy Drunk Blues (Live)","18QNJSF4Wr6PYEB706FQJM","Live In Chicago","2011"
"8154",8154,"Big Joe Williams","Stepfather Blues","4x0F2jL0DMpOVsPYTDq2La","Big Joe Williams Vol. 1 1935 - 1941","1991"
"8155",8155,"Big Joe Williams","Take Me Out Of The Bottom","2RICKK7SEw0VO1XHzh2Zdz","And Friends, Going Back To Crawford","1999"
"8156",8156,"Big John Patton","Ain't That Peculiar","7a5QFIEs51IoU5kz6T8TsU","Got A Good Thing Goin' On","1966"
"8157",8157,"Big John Patton","Congo Chant","4J1qlIuVWEMDdrHgo6Y3mb","The Capitol Vaults Jazz Series","2011"
"8158",8158,"Big John Patton","Pig Foots","64E6fi8WVAj88vCLPTtXf8","Along Came John","1963"
"8159",8159,"Big John Patton","Understanding","7KCSQInnTewwErXAFfdcmc","The Capitol Vaults Jazz Series","2011"
"8160",8160,"Big Kahuna and the Copa Cat Pack","Avalon","4ejSM2ovdmRXEhWy2Vk97T","Shake Those Hula Hips!","2001"
"8161",8161,"Big Kahuna and the Copa Cat Pack","Every Day I Have The Blues","7uVfKBFIsYX8bspVuajYaP","Hawaiian Swing","1999"
"8162",8162,"Big Kahuna and the Copa Cat Pack","I'll Remember You","52HYBKzzxYFwACrocixBnW","Hawaiian Swing","1999"
"8163",8163,"Big Kahuna and the Copa Cat Pack","Night In Tunisia","4RRBVyOuffDbVnbpgguknL","Hawaiian Swing","1999"
"8164",8164,"Big Kahuna and the Copa Cat Pack","Them There Eyes","43JRddZXzCljFJ8GlbsESj","Hawaiian Swing","1999"
"8165",8165,"Big L","Size 'Em Up","5DKpHZIWsLUaRAJx4EJGsY","The Big Picture","2016"
"8166",8166,"Big L","The Heist","1fZuel2AbnvtOj7BYLEo7L","The Big Picture","2016"
"8167",8167,"Big L / Fat Joe","The Enemy","3sxxHB1fj9tgsMUO0I8ieN","The Big Picture","2016"
"8168",8168,"Big L / Tupac Shakur","Deadly Combination","71qTrOPHOj1KDEy0IG2Zjg","The Big Picture","2016"
"8169",8169,"Big Maceo","Texas Blues","0lM0BDDz1PgbQ8L1AozFLU","Big Maceo Vol. 1 ""Flying Boogie"" (1941 - 1945)","2003"
"8170",8170,"Big Maceo Merriweather","Bye Bye Baby","1Ms11NetCMLI6VZu4KRDmT","Big Maceo I Got The Blues","2011"
"8171",8171,"Big Maceo Merriweather","Can't You Read","2JcuGqWrEyCeMjKUDfxb1b","The King Of Chicago Blues Piano","1992"
"8172",8172,"Big Maceo Merriweather","Detroit Jump","0kiBnqm1NTdcvuni913sTS","The King Of Chicago Blues Piano","1992"
"8173",8173,"Big Maceo Merriweather","It's All Up to You","2IwtJTDemfdsc8yM9V2cs0","Big Maceo Vol. 1 ""Flying Boogie"" (1941 - 1945)","2003"
"8174",8174,"Big Maceo Merriweather","Ramblin' Mind Blues","7zbXsrlfsbkM5g2fyTcFAb","Big Maceo Vol. 1 ""Flying Boogie"" (1941 - 1945)","2003"
"8175",8175,"Big Maceo Merriweather","Texas Stomp","6GWVGrTZ5O93kPD02mxDQq","The King Of Chicago Blues Piano","1992"
"8176",8176,"Big Maceo Merriweather","Why Should I Hang Around","1FpF9n89fWGS8UImfVvsZZ","Big Maceo Vol. 1 ""Flying Boogie"" (1941 - 1945)","2003"
"8177",8177,"Big Mama Thornton","Ball N' Chain","4zBSdZ9E6FWnj7Ks64xdNZ","Ball And Chain","1989"
"8178",8178,"Big Mama Thornton","Big Mama's Blues (My Love)","3LcaG3Twxi8zCFYPCPjh3D","With The Muddy Waters Blues Band","2004"
"8179",8179,"Big Mama Thornton","Big Mama's Bumble Bee Blues","41rorHwd65JkYDjsE2Cil0","With The Muddy Waters Blues Band","2004"
"8180",8180,"Big Mama Thornton","Black Rat (take 4)","1LISolP63LVpkwTBAnh9Yh","With The Muddy Waters Blues Band","2004"
"8181",8181,"Big Mama Thornton","Hound Dog (Take 1)","67VdcvJb9lipBj63QCcEZ6","In Europe","2005"
"8182",8182,"Big Mama Thornton","Hound Dog (Take 2)","5QMWNd1tsZhrxJ78LZfQC9","In Europe","2005"
"8183",8183,"Big Mama Thornton","How Come","4xxh8QJvVvY70QVlIxtqfx","Hound Dog / The Peacock Recordings","1992"
"8184",8184,"Big Mama Thornton","I Smell A Rat","1AWq5kngyk5AnpNSxP7bdK","Hound Dog / The Peacock Recordings","1992"
"8185",8185,"Big Mama Thornton","Jail","6UfkzygIHyHn7UeMTzWsny","Jail","2007"
"8186",8186,"Big Mama Thornton","School Boy","4k6knrt3Y3ugcx4qBGAY9A","Ball And Chain","1989"
"8187",8187,"Big Mama Thornton","Swing It On Home (Take 1)","56paIzkTY4S0srNpyeMUQq","In Europe","2005"
"8188",8188,"Big Mama Thornton","The Big Change","70ypbnVA0CkSZuNHmSCFaU","Hound Dog / The Peacock Recordings","1992"
"8189",8189,"Big Maybelle","Aint No Use","3ohhc2PO4qQoKUpGVEmtT5","The Complete Okeh Sessions 1952-1955","1994"
"8190",8190,"Big Maybelle","Gabbin' Blues (Don't Run My Business)","5l0BgHMZFrfRjcf6ZgqDR4","The Complete Okeh Sessions 1952-1955","1994"
"8191",8191,"Big Maybelle","My Big Mistake","4CiAob1I9jajPBUgKzvUQ2","Unforgettable","2017"
"8192",8192,"Big Maybelle","Ring Dang Dilly","7H5R5NEOuGdNXWhvb8eJUs","Blues, Candy & Big Maybelle","1958"
"8193",8193,"Big Maybelle","So Long","2fGuznNaUcFaqc3BHUASEN","Blues, Candy & Big Maybelle","1958"
"8194",8194,"Big Maybelle","Whole Lotta Shakin' Goin On","2QrBIUz6Mbmkh5dqcLzTHp","R&B: From Doo-Wop To Hip-Hop","1999"
"8195",8195,"Big Maybelle","Whole Lotta Shakin' Goin' On","2QrBIUz6Mbmkh5dqcLzTHp","R&B: From Doo-Wop To Hip-Hop","1999"
"8196",8196,"Big Mello","Bump Too Much (Chopped & Screwed)","4hn6EIrvq49wJxI3J6eRJI","The Gift : Slowed","1998"
"8197",8197,"Big Mello","Charge It 2 Da Game","0eZsMk61bHvgKohAyle7Pb","Wegonefunkwichamind","1994"
"8198",8198,"Big Mello","Feva","4hbkYaNcbjEz0Q03KFt2Qm","Wegonefunkwichamind","2007"
"8199",8199,"Big Mello","I Don't Trust 'Em","6eF7IEv1yiF4wJdlfUbD1Z","Bone Hard Zaggin","1992"
"8200",8200,"Big Mello","What Goes Around","5H2MomgGEPjtL14sfaAlFR","The Gift","2002"
"8201",8201,"Big Midnight","All The Dreams","10869hhZniitF4zoXaTKTL","Everything for the First Time","2003"
"8202",8202,"Big Midnight","Doin' All Right","6NJ4WawWx9SYdxFgj07lXa","The Coolest Songs in the World! Vol. 7","2008"
"8203",8203,"Big Midnight","Little Miss Mercy","1VGX0tlOjZcAscb3ZGCgl1","Everything for the First Time","2003"
"8204",8204,"Big Midnight","Trying To Get By","3BrTzYUn7Z5MVUdN7GoiTL","Everything for the First Time","2003"
"8205",8205,"Big Mike Griffin","Deliver Me From Evil","55i38XmwQtOrxlEr9rGfj9","Sittin' Here With Nothing","1995"
"8206",8206,"Big Moe","Cash","2n9qCxMo8q1d5u28A4lL1E","Purple World","2002"
"8207",8207,"Big Moe","Get Lonely Too","3H1BT9lKFEHwCtPOGJtS9G","Moe Life","1999"
"8208",8208,"Big Moe","Intro (screwed)","49eQ6gzAwTqgSYJtgmUJdY","City Of Syrup : Screwed","2000"
"8209",8209,"Big Moe","June 27 Freestyle (screwed)","1ZbU842yOXjPM090XzWeZQ","City Of Syrup : Screwed","2000"
"8210",8210,"Big Moe","Piano June 27 (screwed)","1lDNrm0o6pQe19onu7x44T","City Of Syrup : Screwed","2000"
"8211",8211,"Big Moe","Po' It Up","3vOTpOjigeJ7HjMty9ZQfW","City Of Syrup","2000"
"8212",8212,"Big Money","Da Twiss","2drtWEAvdzK4VLSHQA7YMN","Da' Twiss","2009"
"8213",8213,"Big Money","Element Of Surprise","6lb07WayUJsqikceRowWN0","I Feel Fo Ya","1999"
"8214",8214,"Big Money","Slippin' Killers In","3KtKBaYeJGYHnRfIVJLxjC","I Feel Fo Ya","1999"
"8215",8215,"Big Muff","Divine Intervention","2viZ8ub7gTdoEcMHGKFoO8","Music From The Aural Exciter","1998"
"8216",8216,"Big Muff","My funny Valentine","0n2UaHGhyKP0H6M3zh0Epm","Hôtel Costes","1999"
"8217",8217,"Big Muff","Pornstar","5l0Xs7qjS2XLGtCiJCetyU","Feel Good! Dance Party Vol. 1","2017"
"8218",8218,"Big Muff","So Far Away","51T4t1zyZbJUfGJ3i3SmZQ","So Far Away","2000"
"8219",8219,"Big Muff","To The Bone","0j7ka1pwyK6s6TQXULt3ZS","Music From The Aural Exciter","1998"
"8220",8220,"Big Muff","Vavavoom","4LTZ0V8SerBfz1a1wbx5wn","New York House 90's: Maxi Reborn Vol. 8","2018"
"8221",8221,"Big Noyd","Love It Or Not","369nRicgCDVxY24o9iTPbJ","Street Kings","2008"
"8222",8222,"Big Noyd","New York Lights","1VEGoKwTG7JRvQE0LY8UWn","trigger","trigger"
"8223",8223,"Big Noyd","QB Duo (Feat. Dog of ACD)","619dYzhkQCMOsOmkCoxf3b","trigger","trigger"
"8224",8224,"Big Noyd","We Ridin'","7y8LlmUwqmujQAwa8oe9Ps","trigger","trigger"
"8225",8225,"Big Oso Loc","Gangsta Muzic","6kyeKDQaNff2OKDrhHIHyN","trigger","trigger"
"8226",8226,"Big Oso Loc","Throw Up The 4 (feat. Pistol Cee & Redrum)","5X6pWCzFtnAbtSnmPrvdzG","trigger","trigger"
"8227",8227,"Big Pokey","In Tha Hood","4BpLqE038OIw2wl4gCuK3X","trigger","trigger"
"8228",8228,"Big Pokey","On Our Grind - Slowed (feat. Caretta)","6uH71KTMEjPET4BCfzbium","trigger","trigger"
"8229",8229,"Big Punisher","Big Pun Outro","0kEO2Kgz8z2Pr0lnH35iDq","The Legacy: The Best Of Big Pun","2009"
"8230",8230,"Big Punisher","How We Roll '98","7yJTDNfgKjnhmERL7c22oU","Endangered Species","2001"
"8231",8231,"Big Punisher","Intermission","14DPEuSI3BDfvmtmULbd1g","Capital Punishment (Explicit Version)","1999"
"8232",8232,"Big Punisher","My Turn","6MKnrv8dRHmtdsOgHekghk","Yeah Baby","2000"
"8233",8233,"Big Punisher","The Creation (intro)","2qXrSkMmCrBNCpaNGOaUtI","Yeah Baby","2000"
"8234",8234,"Big Punisher featuring M.O.P.","New York Giants (featuring M.O.P.)","2pmsuhR9b0oe6Sgdn1cFfL","Yeah Baby","2000"
"8235",8235,"Big Rich","People Hold On","4ANh14K898KJwT3BPXgMGM","Heart Of The City","2009"
"8236",8236,"Big Rich","Something Special","5E2eZEzXr7fC94vhzMdjvg","Something Special - Single","2009"
"8237",8237,"Big Rich","That's Tha Bidness","5RCKG35hWyuHMHU0R38wjG","Money Tree Presents: Campaigning","2007"
"8238",8238,"Big Rock Candy Mountain","Hey Kid Give Me Your Money","07xqw9KocXZd3cAvj2xAYQ","Hey Kid","2009"
"8239",8239,"Big Rock Candy Mountain","Lover","6sUUlNfp9ixE1hhszvfddv","Hey Kid","2009"
"8240",8240,"Big Shanty","Kiss The Eight Ball","37P8bJ6yESbELTnIphEcr5","Sold Out...","2009"
"8241",8241,"Big Shanty","Love Train","2tIewr5jeReD7J41ajhNTV","Sold Out","2008"
"8242",8242,"Big Shug","Hood With That","4cp5GcEtRHhUZlQRXlLdw4","Street Champ","2007"
"8243",8243,"Big Shug","No Mother_ No Father","4I7up6EqsOqJxi496E9Ghj","Who's Hard","2005"
"8244",8244,"Big Shug","Tha Way It Iz","23O9U7XMZvfCqylC2peF1I","Who's Hard","2005"
"8245",8245,"Big Shug","What You Gonna Do","1Pm59qMA9Mx9JOlnaucMBB","Street Champ","2007"
"8246",8246,"Big Shug","Who's Hard?","3W36DzVMlXyXGvJF6oTlLA","Who's Hard","2005"
"8247",8247,"Big Star","For You","4tvZ9oCXrKLAQY6pfUvSSa","Third","1978"
"8248",8248,"Big Star","Give Me Another Chance [Alternate Mix]","6JiJGcBQ5MMBpjNoMG4M58","Keep An Eye On The Sky","2009"
"8249",8249,"Big Star","I Am The Cosmos","4oxhOHSie2wxdEsIk5KOHo","Thank You, Friends: Big Star's Third Live...And More (Alex Theatre, Glendale, CA / 4/27/2016)","2017"
"8250",8250,"Big Star","In The Street","7fwUb4zqdjakeeyuYEhkI8","#1 Record","1972"
"8251",8251,"Big Star","Jesus Christ","6XXUg7Tj7kZedS1eTEqadE","Third","1978"
"8252",8252,"Big Star","Jesus Christ [Demo]","67w06fcKa6qGdItKHS1B8p","Complete Third","2016"
"8253",8253,"Big Star","Mod Lang (Studio Rehearsal)","4mzNJ18ua0Re1rHU3y9uJU","Nobody Can Dance","1999"
"8254",8254,"Big Star","Mod Lang [Alternate Mix]","1e7STx9B5G5UI1U1uaX0fe","Keep An Eye On The Sky","2009"
"8255",8255,"Big Star","She's A Mover","61jdCgNdxZ560oIdgoMahS","Radio City","2014"
"8256",8256,"Big Star","She's A Mover [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973]","51HlyIR8Yxw5zw9StUY0HU","Keep An Eye On The Sky","2009"
"8257",8257,"Big Star","The Ballad Of El Goodo","1B5kQto4k99RG67TJEwwS5","#1 Record","1972"
"8258",8258,"Big Star","Thirteen","3BQLTtpQOYGXQY2lT3ZZeU","#1 Record","1972"
"8259",8259,"Big Star","You Get What You Deserve","0OuYrLqHgvZ0Vj9vgAuEnW","Radio City","2014"
"8260",8260,"Big Sty","Bonus Track","3LqRZOsI5TxRGqxOuWTe40","Stycology","2006"
"8261",8261,"Big Sty","I'm Talking 2 U","5GtsMut6o6sKqCUBKLLKdY","Stycology","2006"
"8262",8262,"Big Sugar","Nowhere To Go","5LtujygMZNzvB3cB1hiojg","Big Sugar","1992"
"8263",8263,"Big Time Sarah","Fannie Mae","2ti719SRSDSQcWMkbSOFm1","A Million Of You","2001"
"8264",8264,"Big Time Sarah","I'll Take Care Of You","0CfodLWGEffDuJ7yTJYLjE","A Million Of You","2001"
"8265",8265,"Big Tone","Business","4vZTTzYORfiOpWapMS3oln","Business","2009"
"8266",8266,"Big Tuck","Duece To Ya - Screwed","40bSQv4tOzIzUXSInPSdSK","Polar Bear (Screwed)","2001"
"8267",8267,"Big Tuck","Screwed Up Flow [Screwed]","1IzywNWbJv8phwoziP1kmF","Hell On ‘Em","2004"
